carat,cut,color,clarity,depth,table,price
0.32,Ideal,D,VVS1,61.7,55.0,1067
1.7,Very Good,I,SI1,61.9,62.0,10680
0.9,Premium,G,VS2,61.0,58.0,4022
0.54,Ideal,G,VVS1,61.8,55.0,2236
0.83,Very Good,D,SI2,63.1,57.0,2918
0.41,Ideal,E,VVS2,61.6,55.0,1363
1.01,Good,D,VS1,62.2,62.0,7303
0.5,Good,F,SI2,63.5,58.0,997
0.21,Premium,D,VS2,61.6,59.0,386
0.31,Ideal,G,VVS2,61.5,56.0,687
1.01,Very Good,E,VVS2,63.4,56.0,9642
0.59,Very Good,G,SI1,59.3,58.0,1555
0.32,Ideal,G,VS2,61.8,57.0,561
0.85,Very Good,D,SI1,60.3,57.0,3669
0.52,Ideal,G,VVS2,62.1,56.0,1833
0.58,Ideal,G,IF,62.1,56.0,2528
0.71,Very Good,E,VS2,59.9,59.0,3053
0.53,Very Good,F,VS2,63.2,58.0,1578
1.01,Good,E,VVS2,63.9,58.0,8415
0.5,Ideal,D,VS2,62.0,56.0,1628
0.71,Ideal,E,VS2,62.5,55.0,3247
0.77,Very Good,I,SI2,60.8,56.0,2159
0.29,Very Good,G,VS2,61.5,58.0,712
1.3,Ideal,D,SI1,62.2,56.0,9275
0.77,Ideal,D,SI1,61.4,56.0,2996
0.84,Very Good,D,SI2,63.6,57.0,3145
0.43,Premium,E,SI1,61.5,60.0,739
0.7,Very Good,D,SI1,62.6,57.0,2726
0.54,Ideal,E,VS1,62.0,56.0,1939
1.11,Ideal,E,SI1,62.5,54.0,6737
0.3,Very Good,I,VS1,62.9,59.0,473
1.02,Very Good,H,VS2,60.6,60.0,5393
0.51,Very Good,J,VS2,61.6,58.0,1008
0.82,Very Good,G,SI1,63.4,55.0,2893
0.31,Ideal,I,IF,62.2,54.0,652
0.7,Ideal,G,VVS1,62.3,57.0,3123
0.73,Ideal,F,SI2,62.2,60.0,2355
1.22,Ideal,H,VS2,62.8,56.0,7584
1.59,Very Good,I,SI2,61.6,57.0,7835
0.55,Ideal,F,VS2,61.4,57.0,1865
1.01,Ideal,E,SI1,62.9,56.0,5375
1.0,Very Good,H,VS1,64.2,53.0,5619
0.56,Good,E,SI2,63.5,57.0,1172
1.01,Ideal,J,VS2,62.2,54.0,4443
0.28,Very Good,E,VVS2,61.4,55.0,612
0.39,Good,F,VS1,62.8,61.0,847
2.07,Ideal,I,VS2,60.3,59.0,17045
1.5,Fair,H,I1,68.9,56.0,5292
1.01,Good,F,SI1,62.4,59.0,4619
1.0,Premium,H,SI2,62.7,58.0,4200
0.51,Very Good,E,SI1,62.9,57.0,1304
1.03,Very Good,D,SI2,63.7,56.0,4580
0.51,Premium,G,VS2,61.2,60.0,1438
1.05,Ideal,H,SI1,61.9,57.0,5342
0.7,Premium,E,VS2,62.8,61.0,2737
0.34,Ideal,D,IF,59.8,57.0,2346
0.51,Good,F,SI1,63.8,56.0,1220
0.31,Ideal,F,VS2,62.3,55.0,625
1.31,Premium,I,SI1,62.0,58.0,5282
0.71,Ideal,E,VS1,61.1,57.0,4053
0.3,Premium,H,SI1,61.2,62.0,540
1.54,Very Good,H,VS2,62.1,62.0,11527
1.51,Ideal,J,VS2,61.1,57.0,8033
0.74,Very Good,J,VS2,62.3,55.0,1978
1.03,Good,D,SI2,57.2,59.0,3743
1.52,Premium,I,SI1,62.8,62.0,9295
0.31,Premium,I,VS2,61.1,58.0,435
0.32,Ideal,F,IF,61.2,56.0,1204
0.52,Ideal,H,VS2,62.0,57.0,1385
0.76,Ideal,E,SI1,61.7,57.0,2814
0.72,Ideal,F,VS2,62.2,56.0,2956
1.32,Premium,I,SI1,60.3,60.0,6653
1.24,Ideal,H,VS1,61.6,56.0,7743
0.9,Premium,I,SI1,59.6,60.0,3276
1.5,Premium,F,SI1,62.2,58.0,11613
1.93,Premium,H,VS2,62.8,58.0,17353
0.42,Ideal,H,VVS2,62.0,57.0,823
1.11,Premium,D,SI2,59.9,57.0,5134
1.02,Premium,F,SI2,60.4,60.0,4238
0.38,Very Good,D,VS2,61.0,58.0,847
0.55,Ideal,G,SI1,60.9,56.0,1421
1.04,Premium,E,SI2,60.1,58.0,3392
0.56,Ideal,E,VS1,61.0,57.0,1978
1.01,Ideal,G,VS2,59.8,61.0,6132
0.32,Ideal,I,VS1,61.7,55.6,529
0.26,Good,H,VVS2,63.4,55.0,440
0.3,Premium,H,SI2,60.9,59.0,368
0.5,Very Good,G,VS1,62.1,55.0,1624
1.25,Premium,H,VS2,60.4,59.0,7378
0.74,Ideal,H,VVS1,62.5,55.0,3287
2.01,Ideal,I,VS1,61.4,59.0,17227
0.61,Very Good,I,SI1,63.4,55.0,1356
1.03,Ideal,G,VS2,60.3,56.0,6229
1.03,Fair,E,I1,78.2,54.0,1262
1.3,Very Good,I,VS1,62.6,57.0,6819
0.81,Fair,G,VVS2,64.8,56.2,3323
1.03,Ideal,H,SI1,62.0,57.0,5063
0.56,Ideal,D,VS2,62.1,57.0,2066
0.3,Premium,F,VS2,61.4,60.0,605
0.38,Ideal,D,VS1,62.1,53.9,1092
0.3,Premium,G,VS1,62.1,60.0,776
0.42,Ideal,F,SI1,60.6,57.0,992
0.31,Premium,F,VS2,61.8,59.0,802
0.8,Very Good,F,SI1,63.1,58.0,3093
2.01,Good,E,SI2,60.0,64.0,16733
0.56,Ideal,D,SI1,61.9,55.0,1803
2.16,Very Good,J,SI1,61.4,58.0,14715
1.36,Premium,E,SI2,61.7,59.0,7421
0.31,Ideal,E,VVS1,61.3,56.0,865
1.55,Ideal,J,SI1,61.7,54.0,7987
1.11,Premium,G,SI1,62.4,58.0,5750
0.3,Very Good,D,VVS2,60.6,58.0,2366
0.62,Premium,J,VS2,61.2,59.0,1253
1.0,Good,F,SI1,63.6,58.0,4939
1.05,Premium,G,SI2,61.3,58.0,4318
0.34,Ideal,G,SI1,61.9,55.0,540
1.28,Very Good,H,SI2,60.4,61.0,6766
1.37,Premium,G,SI2,62.4,58.0,6260
0.42,Ideal,G,VS2,62.2,56.0,847
0.42,Good,G,VVS2,57.7,59.8,1076
0.26,Very Good,G,VS1,62.1,56.0,418
0.38,Very Good,D,SI2,62.1,55.0,633
1.01,Premium,G,VS2,62.1,54.0,6108
0.41,Good,F,I1,63.8,57.0,646
0.31,Very Good,H,VS2,60.5,63.0,628
0.3,Ideal,H,VVS2,61.3,56.0,605
1.66,Very Good,G,VS2,63.2,56.0,15229
0.41,Ideal,F,VVS1,61.8,57.0,1295
0.5,Ideal,E,SI1,62.2,57.0,1316
1.03,Premium,D,VVS2,61.7,59.0,8469
0.3,Very Good,E,SI1,63.2,56.0,675
0.71,Very Good,G,VVS2,61.2,58.0,3113
1.64,Premium,J,SI2,63.0,58.0,5624
1.05,Very Good,H,SI2,63.8,58.0,4112
1.01,Ideal,G,SI2,61.0,56.0,4383
0.41,Premium,G,VS2,60.9,58.0,1061
0.4,Premium,E,SI2,60.5,59.0,640
0.9,Good,D,SI1,63.8,58.0,4120
2.04,Ideal,F,SI2,62.4,56.0,17049
2.15,Ideal,H,SI1,61.5,60.0,18470
1.14,Very Good,E,SI2,61.5,58.0,5236
1.0,Very Good,F,VVS2,63.2,56.0,8467
1.52,Very Good,I,VS2,62.3,58.0,10051
0.3,Ideal,G,VVS1,61.7,57.0,764
1.07,Ideal,G,VS2,62.4,55.0,6648
0.38,Ideal,G,VS2,61.6,55.0,743
0.23,Very Good,F,VVS2,60.8,59.0,472
0.8,Very Good,F,VS1,63.6,57.0,3559
0.9,Good,H,VS2,63.1,60.0,3989
1.02,Ideal,H,SI2,60.7,57.0,4398
0.33,Ideal,H,SI2,61.4,56.0,554
1.0,Very Good,D,VS2,61.5,63.0,7146
0.42,Very Good,G,SI1,61.6,61.0,687
0.57,Very Good,F,SI2,63.5,56.0,1397
0.7,Ideal,F,VS1,61.2,56.0,3662
0.3,Ideal,D,VVS2,61.4,55.0,1041
0.5,Ideal,F,VS1,62.5,57.0,1710
0.4,Ideal,G,VS1,60.7,57.0,877
0.4,Ideal,G,SI2,60.6,56.0,870
1.08,Very Good,D,VS1,60.2,58.0,9168
0.73,Very Good,G,VS1,60.7,57.0,2939
1.01,Premium,H,SI1,61.2,59.0,4191
0.53,Ideal,F,SI2,60.3,56.0,1335
1.13,Premium,H,VS2,62.8,59.0,5571
0.41,Good,J,VS2,63.4,56.0,611
0.56,Very Good,E,SI1,62.8,57.6,1659
1.33,Ideal,H,SI2,62.3,55.0,6791
0.8,Ideal,E,VS1,62.1,56.0,4086
0.55,Ideal,F,SI2,61.1,56.0,1313
0.7,Premium,F,SI1,60.4,58.0,2196
0.76,Very Good,F,VVS1,59.6,58.0,4504
1.01,Ideal,D,VS2,59.8,56.0,6999
0.54,Ideal,H,VS2,62.6,57.0,1389
1.23,Ideal,I,SI1,62.1,58.0,5600
0.5,Ideal,J,VS1,62.5,57.0,1082
1.2,Premium,F,SI1,61.0,62.0,6774
0.71,Ideal,H,VS2,62.1,59.0,2572
0.37,Ideal,J,VS1,62.6,57.0,624
2.26,Ideal,I,SI1,62.4,57.0,16904
1.03,Ideal,D,SI1,61.6,55.0,5804
1.01,Good,F,SI2,61.5,62.0,4302
0.34,Ideal,G,VS2,61.5,55.0,765
1.51,Good,I,VVS2,63.6,58.0,7255
0.72,Ideal,D,SI1,61.1,56.0,2891
1.06,Premium,F,SI2,62.0,59.0,4656
1.0,Very Good,G,VS2,61.5,58.0,5860
0.7,Very Good,F,VS2,62.3,61.0,2593
1.51,Very Good,G,SI2,60.5,54.6,8637
0.3,Ideal,F,IF,62.0,56.0,886
0.32,Ideal,G,VVS2,61.3,56.0,730
1.01,Fair,E,SI1,56.8,61.0,5185
1.05,Premium,I,SI2,60.2,61.0,4374
1.07,Ideal,F,VS2,61.0,54.0,7564
1.22,Premium,G,SI1,62.3,58.0,6288
0.24,Very Good,E,VS1,62.4,56.0,461
0.42,Ideal,I,VS2,62.1,56.0,1081
1.02,Premium,E,SI1,61.4,58.0,5956
0.93,Very Good,I,VS2,63.5,57.0,3563
1.2,Ideal,I,VS1,61.5,59.0,6380
0.3,Very Good,G,VVS2,62.1,59.0,684
0.76,Very Good,E,SI2,60.8,60.0,2831
1.2,Very Good,D,SI2,63.5,59.0,4758
0.5,Ideal,D,VS1,61.6,57.0,1923
1.28,Very Good,F,SI1,63.0,56.0,6566
0.9,Very Good,G,VS1,62.4,58.0,4297
0.3,Ideal,F,VVS1,61.9,57.0,995
0.31,Ideal,E,VS2,62.0,56.0,872
0.77,Premium,G,SI1,60.7,58.0,2563
0.52,Premium,E,SI1,62.3,59.0,1577
0.24,Very Good,E,VVS1,62.2,59.0,552
0.4,Good,I,VVS1,63.9,56.0,1080
0.31,Good,H,VVS1,63.3,56.0,707
0.32,Ideal,E,VS2,61.8,54.0,599
0.5,Good,G,VVS2,63.9,58.0,1806
1.31,Ideal,J,SI1,62.5,56.0,6337
0.73,Very Good,D,SI1,63.1,57.0,2808
0.4,Premium,F,VS1,61.9,59.0,1050
0.37,Very Good,F,IF,60.4,57.0,995
1.2,Good,I,SI1,63.1,58.0,4752
1.07,Ideal,H,SI1,61.0,56.0,5281
0.31,Good,F,VS2,64.2,59.0,744
0.38,Premium,D,VS2,61.5,62.0,1117
0.71,Premium,I,VVS1,62.0,58.0,2572
0.54,Good,E,SI2,63.9,54.0,1112
0.53,Ideal,E,VS2,61.8,56.0,1676
0.9,Very Good,G,VVS1,63.3,58.0,4697
1.28,Premium,H,SI2,60.2,58.0,6093
0.31,Very Good,G,SI2,63.0,57.0,408
0.74,Very Good,E,SI1,61.3,58.0,3009
2.05,Very Good,H,SI1,62.5,57.0,17811
1.31,Premium,I,SI2,63.0,58.0,5612
0.72,Premium,D,SI1,63.0,57.0,2567
0.54,Ideal,H,SI1,62.5,56.0,1147
0.51,Premium,G,VS1,62.3,59.0,1781
0.3,Ideal,E,VS2,61.2,55.0,844
1.07,Ideal,G,SI2,62.1,55.0,4752
0.57,Ideal,F,VS2,61.6,56.0,1684
1.0,Premium,G,VS2,62.1,58.0,5242
0.31,Ideal,H,SI1,61.2,58.0,417
1.82,Very Good,J,VS1,62.2,56.0,10090
0.53,Ideal,G,VVS1,61.6,57.0,2153
0.56,Premium,E,VS2,61.1,59.0,1552
0.79,Ideal,E,SI1,62.0,57.0,3384
1.0,Premium,H,SI1,62.7,60.0,4469
0.74,Very Good,F,SI1,59.8,58.0,2583
1.08,Ideal,H,SI2,60.4,57.0,4536
1.08,Ideal,G,VS2,62.4,55.0,6532
0.46,Good,F,IF,56.2,61.0,1806
0.91,Premium,F,VS2,62.2,58.0,4892
0.63,Premium,G,VS2,60.4,58.0,2391
0.78,Ideal,G,VS2,62.0,57.0,3590
0.7,Premium,F,SI1,62.2,59.0,2401
0.72,Ideal,I,VS2,61.1,56.0,2337
0.3,Premium,D,VS2,61.0,60.0,911
0.65,Premium,F,VS2,59.6,58.0,1970
0.4,Good,D,SI2,63.8,54.0,622
0.33,Ideal,D,SI1,62.8,56.0,780
0.74,Ideal,F,SI2,62.0,56.0,2655
0.5,Ideal,D,SI2,60.9,57.0,1368
0.31,Ideal,H,VVS2,62.2,57.0,625
0.75,Very Good,F,SI1,63.1,58.0,2347
1.37,Premium,H,VS1,60.9,59.0,8577
0.9,Premium,G,VS2,61.7,59.0,4269
0.31,Good,D,SI2,63.1,54.0,462
0.56,Ideal,D,SI1,62.5,56.0,1814
1.01,Premium,G,SI2,60.1,60.0,4270
0.3,Ideal,F,VS2,61.1,55.0,569
0.71,Ideal,G,VS1,62.2,56.0,2962
0.3,Ideal,E,SI1,61.7,55.0,640
0.36,Ideal,H,SI1,61.5,57.0,505
0.35,Ideal,F,VS2,61.9,54.0,906
1.01,Premium,H,VS2,62.4,58.0,4769
0.53,Ideal,I,SI2,61.8,55.0,844
0.3,Premium,H,VS1,62.2,60.0,675
1.03,Premium,H,SI1,61.8,58.0,3945
0.43,Premium,E,SI1,60.2,60.0,1016
0.3,Ideal,D,VVS2,59.4,60.0,802
0.9,Ideal,G,SI2,60.6,55.0,4077
1.11,Ideal,I,VS1,61.0,57.0,6077
0.4,Premium,D,SI1,62.5,61.0,924
1.04,Ideal,G,VS2,62.0,57.0,6342
0.79,Ideal,G,VVS2,62.1,56.0,3760
0.51,Premium,E,SI1,61.8,58.0,1443
2.14,Premium,D,SI2,59.8,59.0,17127
1.1,Very Good,F,SI1,60.5,60.0,5667
1.01,Good,E,SI1,64.1,59.0,4480
1.22,Premium,D,VS2,62.0,60.0,9581
0.74,Very Good,E,SI2,61.8,60.0,2391
0.73,Premium,F,SI1,61.9,60.0,2504
0.76,Fair,H,VVS2,64.8,57.0,2699
0.42,Ideal,H,SI1,61.7,55.0,885
2.0,Premium,I,SI2,60.7,61.0,13820
1.07,Ideal,H,SI2,59.2,57.0,4314
0.82,Ideal,E,SI2,62.2,57.0,3012
0.57,Ideal,F,VVS1,62.5,56.0,2682
0.29,Good,F,VS1,62.1,56.0,415
0.35,Premium,D,VS2,60.4,58.0,1063
0.77,Very Good,I,VS2,60.2,59.0,2584
1.0,Very Good,F,VS2,63.3,55.0,6382
0.31,Premium,F,VS2,62.4,58.0,802
1.03,Ideal,E,SI1,62.1,56.0,5476
0.43,Ideal,G,VVS2,60.9,57.0,1056
0.69,Ideal,F,SI1,61.3,55.0,2459
1.02,Premium,F,SI1,60.1,60.0,5686
0.38,Ideal,D,VVS1,60.3,56.0,1915
0.31,Ideal,H,VVS1,62.6,53.0,687
0.51,Ideal,E,VS2,62.4,57.0,1656
0.3,Very Good,J,VS2,63.4,57.0,473
0.27,Ideal,H,VS2,60.5,57.0,509
0.7,Fair,G,VVS2,65.3,61.0,2710
2.08,Good,I,SI2,63.8,58.0,14084
0.53,Ideal,G,IF,61.4,56.0,2247
1.05,Very Good,H,SI2,61.4,58.0,4042
0.39,Ideal,J,SI1,62.6,53.0,539
0.6,Very Good,G,VVS2,62.2,56.0,2130
0.55,Ideal,E,VS1,61.2,57.0,2001
0.59,Ideal,I,VS1,61.8,55.0,1401
1.07,Ideal,G,VS2,62.2,57.0,6040
0.52,Ideal,G,VVS2,59.8,57.0,1911
0.55,Premium,J,SI1,60.5,59.0,1348
1.0,Premium,F,VS2,62.9,59.0,6296
0.38,Ideal,G,SI1,61.2,58.0,688
0.71,Fair,G,VS2,57.0,66.0,2623
1.06,Ideal,E,VVS2,61.0,57.0,9712
0.73,Very Good,F,SI1,59.3,61.0,2326
0.35,Premium,F,SI1,61.7,58.0,748
1.51,Ideal,I,SI2,61.2,58.0,7362
1.09,Premium,G,SI2,61.1,59.0,4794
0.7,Ideal,H,VVS1,60.9,57.0,3611
0.36,Premium,E,VS2,61.3,60.0,1013
1.01,Premium,F,VVS1,62.5,58.0,7882
0.9,Fair,H,SI2,65.0,61.0,2883
1.62,Ideal,J,SI1,62.4,53.2,8075
0.51,Good,H,VS1,59.4,61.9,1376
0.26,Ideal,E,VVS2,62.2,56.0,599
0.52,Ideal,D,VS2,61.8,57.0,1822
1.1,Ideal,H,SI2,62.0,55.0,4537
0.48,Very Good,E,VS1,59.1,62.0,1616
0.38,Premium,F,VVS1,61.6,58.0,1200
0.9,Fair,I,VS1,68.7,62.0,2732
1.28,Premium,G,VS2,62.2,59.0,9032
1.13,Ideal,H,I1,62.2,55.0,3678
0.32,Premium,H,SI1,61.9,58.0,576
1.55,Premium,I,SI2,61.5,58.0,7256
0.32,Very Good,D,SI2,62.8,57.0,477
0.72,Ideal,D,VS1,61.4,56.0,3622
0.31,Ideal,D,SI1,61.4,55.0,571
1.24,Premium,F,VS1,60.1,59.0,9738
0.41,Very Good,E,SI2,59.5,62.0,638
0.4,Ideal,G,SI1,61.3,56.0,701
0.7,Very Good,G,SI1,61.7,56.0,2310
0.46,Good,G,VVS2,60.2,60.5,1245
1.01,Ideal,G,VS2,62.7,54.0,6937
0.71,Ideal,I,VS2,62.1,59.0,2315
0.71,Premium,G,SI2,59.9,59.0,1717
1.51,Good,F,VVS2,63.7,58.0,14654
1.14,Very Good,D,SI1,62.7,59.0,6464
0.3,Ideal,D,SI1,61.0,58.0,547
0.7,Premium,I,VVS2,60.1,59.0,2352
0.9,Very Good,F,VS2,62.6,58.0,4681
0.34,Premium,H,VS2,59.0,59.0,689
1.25,Premium,H,VS2,61.9,58.0,5902
0.33,Premium,G,VS1,61.6,58.0,854
0.38,Very Good,F,IF,60.2,58.0,1284
0.62,Fair,E,SI2,58.2,60.0,1435
0.75,Ideal,G,VS2,60.6,55.0,2939
0.92,Premium,G,SI2,62.9,58.0,3650
0.9,Good,E,VS1,62.2,60.0,5068
0.23,Very Good,E,VVS2,61.4,55.0,458
0.42,Ideal,I,VVS1,60.5,57.0,865
0.41,Premium,G,VS2,62.4,58.0,827
0.92,Good,D,SI1,63.6,57.0,4086
0.71,Ideal,G,VVS1,62.1,56.0,3167
1.23,Ideal,J,VS2,61.7,57.0,5763
1.5,Good,J,SI2,63.7,58.0,5107
0.57,Ideal,I,IF,61.0,55.0,1779
0.91,Very Good,F,SI1,62.0,59.0,4141
0.36,Ideal,E,VS2,62.8,56.0,1013
1.0,Ideal,D,IF,60.7,57.0,16469
0.79,Very Good,F,VS1,58.6,57.0,3398
0.93,Very Good,E,SI1,62.5,58.0,4537
0.78,Premium,G,VS2,60.8,58.0,2803
1.1,Very Good,G,VVS1,60.4,57.0,8724
0.4,Ideal,F,VVS2,62.9,55.0,1039
0.81,Ideal,E,SI1,60.3,56.0,3413
1.1,Ideal,G,VS2,60.0,57.0,6653
0.31,Premium,G,VS1,61.2,60.0,802
1.01,Ideal,E,VVS2,62.0,56.0,9483
1.52,Fair,H,I1,65.4,62.0,4648
0.58,Premium,E,VS1,62.2,58.0,2297
0.3,Premium,H,VVS2,63.0,56.0,776
0.8,Ideal,H,IF,62.4,54.0,3972
1.5,Good,I,I1,63.7,61.0,3696
0.3,Ideal,G,VS2,61.8,54.0,545
0.3,Ideal,G,IF,61.4,57.0,895
1.54,Premium,D,VS2,59.4,59.0,11795
1.11,Premium,H,SI1,61.5,59.0,5315
0.46,Ideal,F,VS1,62.7,56.0,1418
0.35,Ideal,E,VS1,61.2,56.0,829
0.72,Premium,E,SI1,61.4,57.0,2476
0.38,Ideal,F,VVS1,62.4,53.0,1096
0.34,Ideal,F,IF,61.4,57.0,1276
